event_title,discipline_title,slug_game,event_gender
Mixed Doubles,Curling,beijing-2022,Mixed
Women,Curling,beijing-2022,Women
Men,Curling,beijing-2022,Men
Men's Moguls,Freestyle Skiing,beijing-2022,Men
Men's Freeski Halfpipe,Freestyle Skiing,beijing-2022,Men
Men's Freeski Big Air,Freestyle Skiing,beijing-2022,Men
Men's Ski Cross,Freestyle Skiing,beijing-2022,Men
Women's Freeski Big Air,Freestyle Skiing,beijing-2022,Women
Women's Moguls,Freestyle Skiing,beijing-2022,Women
Mixed Team Aerials,Freestyle Skiing,beijing-2022,Mixed
Women's Ski Cross,Freestyle Skiing,beijing-2022,Women
Men's Aerials,Freestyle Skiing,beijing-2022,Men
Women's Aerials,Freestyle Skiing,beijing-2022,Women
Women's Freeski Halfpipe,Freestyle Skiing,beijing-2022,Women
Women's Freeski Slopestyle,Freestyle Skiing,beijing-2022,Women
Men's Freeski Slopestyle,Freestyle Skiing,beijing-2022,Men
Women's 500m,Short Track Speed Skating,beijing-2022,Women
Men's 500m,Short Track Speed Skating,beijing-2022,Men
Men's 5000m Relay,Short Track Speed Skating,beijing-2022,Men
Team Relay,Short Track Speed Skating,beijing-2022,Men
Men's 1500m,Short Track Speed Skating,beijing-2022,Men
Men's 1000m,Short Track Speed Skating,beijing-2022,Men
Women's 3000m Relay,Short Track Speed Skating,beijing-2022,Women
Women's 1000m,Short Track Speed Skating,beijing-2022,Women
Women's 1500m,Short Track Speed Skating,beijing-2022,Women
Women's Snowboard Halfpipe,Snowboard,beijing-2022,Women
Mixed Team Snowboard Cross,Snowboard,beijing-2022,Mixed
Women's Snowboard Cross,Snowboard,beijing-2022,Women
Men's Parallel Giant Slalom,Snowboard,beijing-2022,Men
Women's Snowboard Big Air,Snowboard,beijing-2022,Women
Men's Snowboard Cross,Snowboard,beijing-2022,Men
Men's Snowboard Slopestyle,Snowboard,beijing-2022,Men
Men's Snowboard Halfpipe,Snowboard,beijing-2022,Men
Women's Snowboard Slopestyle,Snowboard,beijing-2022,Women
Women's Parallel Giant Slalom,Snowboard,beijing-2022,Women
Men's Snowboard Big Air,Snowboard,beijing-2022,Men
Men's Team,Ski Jumping,beijing-2022,Men
Men's LH Individual,Ski Jumping,beijing-2022,Men
Mixed Team,Ski Jumping,beijing-2022,Mixed
Women's NH Individual,Ski Jumping,beijing-2022,Women
Men's NH Individual,Ski Jumping,beijing-2022,Men
Team Event,Figure skating,beijing-2022,Men
Pair Skating,Figure skating,beijing-2022,Men
Ice Dance,Figure skating,beijing-2022,Men
Women Single Skating,Figure skating,beijing-2022,Women
Men Single Skating,Figure skating,beijing-2022,Men
Team Relay,Luge,beijing-2022,Men
Doubles,Luge,beijing-2022,Men
Men's Singles,Luge,beijing-2022,Men
Women's Singles,Luge,beijing-2022,Women
Men,Ice Hockey,beijing-2022,Men
Women,Ice Hockey,beijing-2022,Women
Men's 12.5km Pursuit,Biathlon,beijing-2022,Men
Mixed Relay 4x6km (W+M),Biathlon,beijing-2022,Mixed
Women's 12.5km Mass Start,Biathlon,beijing-2022,Women
Women's 10km Pursuit,Biathlon,beijing-2022,Women
Men's 10km Sprint,Biathlon,beijing-2022,Men
Women's 7.5km Sprint,Biathlon,beijing-2022,Women
Women's 4x6km Relay,Biathlon,beijing-2022,Women
Men's 15km Mass Start,Biathlon,beijing-2022,Men
Men's 20km Individual,Biathlon,beijing-2022,Men
Men's 4x7.5km Relay,Biathlon,beijing-2022,Men
Women's 15km Individual,Biathlon,beijing-2022,Women
Men's Slalom,Alpine Skiing,beijing-2022,Men
Men's Downhill,Alpine Skiing,beijing-2022,Men
Women's Super-G,Alpine Skiing,beijing-2022,Women
Men's Super-G,Alpine Skiing,beijing-2022,Men
Women's Downhill,Alpine Skiing,beijing-2022,Women
Mixed Team Parallel,Alpine Skiing,beijing-2022,Mixed
